Product,RM Code,RM Desc, Qty ,Avg Speed ,Width,Production Line
B-THS-030.0-XX-J,B-RGG-0001,RGG,283,,,FCB: Line-3 (BOPP)
B-THS-030.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,12,,,FCB: Line-3 (BOPP)
B-THS-030.0-XX-J,RM3300267,POLYPROPYLENE - CLYRELL RC 6142,17.7,,,FCB: Line-3 (BOPP)
B-THS-030.0-XX-J,RM3500308,POLYPROPELENE - COBLASC 206 AA,12.3,,,FCB: Line-3 (BOPP)
B-THS-030.0-XX-J,RM3500265,POLYPROPELENE -2C01 A,0.5,,,FCB: Line-3 (BOPP)
B-THS-030.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0.3,,,FCB: Line-3 (BOPP)
B-THS-030.0-XX-J,RM3300165,TAFMER XM7070S,1.1,,,FCB: Line-3 (BOPP)
B-THS-030.0-XX-B,,,"1,000",250,6.75,
B-THS-035.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,653.5,,,FCB: Line-3 (BOPP)
B-THS-035.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,21.5,,,FCB: Line-3 (BOPP)
B-THS-035.0-XX-J,B-RGG-0001,RGG,285.4,,,FCB: Line-3 (BOPP)
B-THS-035.0-XX-J,RM3300269,POLYPROPYLENE - CLYRELL RC 112L,10.3,,,FCB: Line-3 (BOPP)
B-THS-035.0-XX-J,RM3300267,POLYPROPYLENE - CLYRELL RC 6142,15.2,,,FCB: Line-3 (BOPP)
B-THS-035.0-XX-J,RM3500308,POLYPROPELENE - COBLASC 206 AA,12.4,,,FCB: Line-3 (BOPP)
B-THS-035.0-XX-J,RM3500265,POLYPROPELENE -2C01 A,0.5,,,FCB: Line-3 (BOPP)
B-THS-035.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0.3,,,FCB: Line-3 (BOPP)
B-THS-035.0-XX-J,RM3300165,TAFMER XM7070S,0.9,,,FCB: Line-3 (BOPP)
B-THS-035.0-XX-B,,,"1,000",180,6.75,
B-TLP-015.0-XX-J,RM3500075,POLYPROPELENE - COEXAS 2 (PP),9,,,FCB: Line-3 (BOPP)
B-TLP-015.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),35,,,FCB: Line-3 (BOPP)
B-TLP-015.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,88,,,FCB: Line-3 (BOPP)
B-TLP-015.0-XX-J,RM3500004,POLYPROPYLENE - ABVT 22 SC,3,,,FCB: Line-3 (BOPP)
B-TLP-015.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,865,,,FCB: Line-3 (BOPP)
B-TLP-015.0-XX-B,,,"1,000",400,6.75,
B-TLS-017.0-XX-J,RM3300165,TAFMER XM7070S,12,,,FCB: Line-3 (BOPP)
B-TLS-017.0-XX-J,RM3500004,POLYPROPYLENE - ABVT 22 SC,2,,,FCB: Line-3 (BOPP)
B-TLS-017.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,879,,,FCB: Line-3 (BOPP)
B-TLS-017.0-XX-J,RM3500075,POLYPROPELENE - COEXAS 2 (PP),9,,,FCB: Line-3 (BOPP)
B-TLS-017.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),45,,,FCB: Line-3 (BOPP)
B-TLS-017.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),1,,,FCB: Line-3 (BOPP)
B-TLS-017.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,54,,,FCB: Line-3 (BOPP)
B-TLS-017.0-XX-B,,,"1,000",410,6.75,
B-TLS-018.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),1,,,FCB: Line-3 (BOPP)
B-TLS-018.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,51,,,FCB: Line-3 (BOPP)
B-TLS-018.0-XX-J,RM3300165,TAFMER XM7070S,11,,,FCB: Line-3 (BOPP)
B-TLS-018.0-XX-J,RM3500004,POLYPROPYLENE - ABVT 22 SC,1,,,FCB: Line-3 (BOPP)
